,Name,MC_USD_Billion,MC_EUR_Billion,MC_GBP_Billion,MC_INR_Billion
0,JPMorgan Chase,599.93,557.93,479.94,49764.19
1,Bank of America,307.9,286.35,246.32,25540.3
2,Industrial and Commercial Bank of China,303.54,282.29,242.83,25178.64
3,Agricultural Bank of China,232.84,216.54,186.27,19314.08
4,Bank of China,209.29,194.64,167.43,17360.61
5,China Construction Bank,192.72,179.23,154.18,15986.12
6,Wells Fargo,192.28,178.82,153.82,15949.63
7,HSBC,163.54,152.09,130.83,13565.64
8,Commonwealth Bank,156.64,145.68,125.31,12993.29
9,Goldman Sachs,156.36,145.41,125.09,12970.06
